a,b,c,label
0.5391441179501503,,cat,no
0.9783699377697719,,bird,no
-1.2231969017211433,-1.315167742428191,nan,yes
1.6945117616984973,-0.3800985635103225,bird,no
-1.739387611155795,-0.7214163497458866,nan,no
,-0.14780650354711772,nan,no
1.4532823062524691,1.1128701407684969,bird,no
,0.23848081136393096,dog,yes
,,nan,no
0.6676607926469234,1.354441072784276,bird,no
1.851881891933872,-1.428857236544191,cat,yes
,,bird,no
,-1.5400859750117044,cat,no
,0.2523179057305393,nan,no
-1.5525139922862203,-0.3186274038925976,bird,no
,1.0822379115263678,bird,yes
,,cat,no
-0.20833915406555548,,bird,yes
0.9096211314190062,,bird,no
-0.3769103244098489,-0.31509673303210933,nan,no
,,bird,no
-1.0380885038162868,1.6190684811080807,dog,yes
0.9587194283239979,,cat,no
0.3419050212654704,,bird,no
-0.08857903081966823,-1.7314314288972656,cat,yes
0.13089348794379568,-0.4473424610573652,cat,yes
,,cat,yes
0.10800074394696996,1.0692794575724411,bird,yes
-0.14166978535660385,-1.290717519788412,bird,no
-1.2594326104375635,,cat,no
,,dog,no
,-0.17544882972951026,cat,no
-0.6072921849478414,1.6715829507443978,dog,yes
,,cat,no
,-0.1443928184529713,nan,no
-0.14208987508966542,-0.3459163005999941,cat,no
-2.273950209236545,-1.5068733188031669,cat,no
2.134962939679395,-0.004258987239210006,bird,yes
1.241392331313189,1.9533032557459908,dog,no
-0.34898205106833524,-0.12873533952792326,nan,no
,0.7287592831437797,dog,no
,-1.3974973239192643,nan,yes
0.20232681488414128,-0.43477492973360166,cat,yes
0.5420899248003734,0.4624653058026509,bird,no
-0.8396202732550483,,bird,no
,0.8246673344105617,dog,no
-0.47346212317554937,-0.6026718845586638,bird,yes
0.680765748655567,-1.7499885488236653,dog,no
-0.7969392604570241,1.1220902303222704,dog,no
2.6481439857534865,-0.9361492892709085,nan,no
0.6955233489652584,,dog,yes
2.8842322765736466,0.45085686648841533,nan,no
0.8276019763260464,-1.663753195031992,bird,no
,,dog,yes
0.829380793589196,,dog,yes
0.9005778181932164,0.05505462198696162,cat,no
,,dog,yes
0.6303924720320564,,dog,no
0.7617271294076756,1.3434902081840627,cat,yes
,-1.812334583770722,cat,yes
-1.0648584047299523,2.2588271219081886,bird,no
,-0.6783067325151962,dog,no
0.12754239437051024,,bird,no
-0.22317117147342025,-0.25620957213998447,bird,yes
-0.9755705659229487,-0.3409167060919351,cat,no
0.7753142105196469,-0.2473277330778225,nan,no
0.28304482013647975,-0.4007896449794901,bird,no
0.16892899137085413,2.524396537823222,nan,no
,-0.0763631993206342,dog,no
-0.378228102365573,-0.3022964325386896,cat,yes
,0.07701075749294407,dog,no
0.9337402925373378,-0.9673351969247053,dog,no
-0.7034928816531866,1.5971205342902508,cat,yes
,-1.4710808356931313,dog,no
1.6620103962720332,-0.6140086070714053,cat,no
,0.9366603098467922,nan,no
,0.04235213076743197,dog,no
0.568709016035673,0.5492151825000465,cat,no
,1.5331641166854302,bird,yes
,1.0038015483324798,dog,yes
,0.13747634514114523,nan,yes
0.03477596879344046,2.0893426498517984,cat,no
,-0.6283361487962332,dog,yes
0.041457121134088885,-0.10030964099255302,dog,no
,-0.03044033150276641,dog,no
1.0056550930765973,-0.1024217660169797,nan,no
-1.699497428678444,-1.0692106569611604,cat,yes
,,bird,yes
0.3365867014222797,0.41720157437919353,bird,yes
0.2460159641760336,-0.6334737855506571,bird,no
1.0244989488654865,1.90780878898128,cat,yes
-0.28612359004294735,-0.07254232323523949,bird,no
,-0.25148925749149037,nan,yes
-1.716541888186453,1.0943397864026543,cat,yes
-0.4153168821352231,0.40219263744772177,dog,no
0.8557364311752241,-0.17551742778704885,nan,no
-1.3391617355364818,-0.6407317477644433,dog,yes
0.1597433670507449,,bird,yes
-0.6775170718837972,0.3617857622617386,nan,yes
,1.0844295773843962,cat,no
