numeric_feat,high_card_cat,medium_card_cat,low_card_cat,target
0.4919155381513867,category_0,med_2,low_a,1
0.04112506864187696,category_1,med_10,low_c,0
-0.7354489203920433,category_2,med_5,low_a,0
-0.026605105036981547,category_3,med_2,low_c,0
1.2045945793683899,category_4,med_23,low_c,1
0.18253809688267564,category_5,med_10,low_b,0
0.6269547482561325,category_6,med_14,low_a,1
-0.27705310027909125,category_7,med_12,low_a,1
0.4520640101516148,category_8,med_19,low_a,1
-1.2092145304831798,category_9,med_27,low_b,0
-0.4997204994197924,category_10,med_9,low_b,1
-0.10266860856592804,category_11,med_5,low_b,1
-1.2763359206265377,category_12,med_14,low_a,1
-0.8302167188922722,category_13,med_24,low_a,1
0.3131117685738916,category_14,med_17,low_a,1
0.12983191628803234,category_15,med_17,low_b,1
0.8063654246577088,category_16,med_6,low_b,1
-0.600511018185164,category_17,med_14,low_c,1
0.057602226005241515,category_18,med_17,low_b,1
-0.6718674108838283,category_19,med_17,low_c,1
0.7061285491093263,category_20,med_19,low_a,1
1.1907461160252475,category_21,med_8,low_b,1
0.4833248272528027,category_22,med_23,low_a,0
1.0611942762765827,category_23,med_1,low_a,0
0.03249986288786191,category_24,med_7,low_a,1
0.8055938349951759,category_25,med_19,low_a,1
0.07541774261246036,category_26,med_1,low_b,1
-1.0249280665857678,category_27,med_10,low_a,0
0.24672138869860635,category_28,med_25,low_c,0
-0.9952966937905094,category_29,med_6,low_b,0
2.3391289515689104,category_30,med_5,low_a,1
-0.33408815877533443,category_31,med_29,low_b,1
0.6450378554489973,category_32,med_9,low_c,1
-0.012413219525594604,category_33,med_4,low_a,1
-1.2336134240359058,category_34,med_10,low_c,0
-1.8985230300645715,category_35,med_0,low_a,1
0.749013955074131,category_36,med_1,low_c,0
1.5493409267710596,category_37,med_23,low_a,0
-0.7348037072103585,category_38,med_0,low_b,1
-1.6566925195595903,category_39,med_18,low_a,0
-0.32516273242162486,category_40,med_1,low_b,0
-0.9371170452387332,category_41,med_20,low_a,0
-0.6503156798620929,category_42,med_19,low_a,0
0.6103736997252851,category_43,med_28,low_c,1
-0.050463047402838246,category_44,med_22,low_c,1
-0.8295075588820175,category_45,med_20,low_c,0
0.588500786261195,category_46,med_23,low_a,1
0.6668723450757911,category_47,med_3,low_a,0
-0.3370574860446252,category_48,med_11,low_a,1
0.13791652091806014,category_49,med_21,low_b,1
0.5205018830769746,category_50,med_19,low_b,1
0.42610313098339714,category_51,med_17,low_a,1
0.040614086965532745,category_52,med_0,low_c,1
1.4325861182252961,category_53,med_29,low_c,0
0.5826808130151858,category_54,med_29,low_c,1
-0.45067901649773273,category_55,med_0,low_a,0
-0.44466906769890485,category_56,med_23,low_c,0
-0.5580863501366736,category_57,med_13,low_a,1
0.6321209472278112,category_58,med_3,low_b,0
-0.6227475600019066,category_59,med_4,low_c,1
-0.4248990892028066,category_60,med_10,low_b,0
1.0580223881158126,category_61,med_23,low_c,0
0.19163196206738903,category_62,med_27,low_a,1
