f1,f2,f3,label
-1.335052095426896,-0.5470242510096601,a,majority
-1.090167849208967,-0.09861764364055987,c,minority
0.6473256114622247,-0.4119698691130282,b,minority
1.0445612757853708,-1.7832214812837974,c,majority
-0.3897168901934041,-0.12330765200479676,c,majority
-1.8486356916305207,-1.010621763578548,a,majority
-0.1675573394012255,0.2545804326435609,a,minority
0.18940590077956157,1.105638510041112,c,majority
0.09881803892882439,-2.214173733173655,b,majority
-0.5633896649610052,-0.4069169840002802,b,majority
-0.15288411926093826,0.4523232329649811,a,majority
-0.7497768442841058,-2.1833489184297776,a,majority
-1.11183822373686,1.3362653604222314,a,majority
0.755668520646805,0.3798920368034835,a,majority
0.09779831340271064,1.0832128219319013,a,minority
-0.1506835586223298,-0.5639478631114292,a,majority
-0.5071477427721613,-0.44332077027619093,a,majority
-0.18017355653507985,-0.16093635479906948,b,majority
0.16031642878699645,2.13820904755154,a,majority
1.7286815758143066,1.3181053604970665,a,majority
0.654536849827144,0.13234769950874692,b,majority
-0.6663091219490861,0.2544017716507839,b,majority
-0.6557637427056909,0.634903811584933,c,majority
-0.8116811003245956,2.391554820991459,a,majority
-0.20052053125297437,0.3827197930570508,a,majority
-0.8124514502408846,0.04595939611876998,a,majority
0.47482374498962565,-0.3385983966149878,a,majority
-2.643516255798053,0.23491524751944107,c,majority
0.5351683092747441,-0.5870218183512091,b,majority
0.2753774878054306,0.4960923380768729,b,majority
1.2627424831476395,-1.4325966297915411,a,majority
0.876789554553953,-0.26050058940633264,a,majority
-0.6836977852540534,0.7346328547273364,a,majority
0.7642980809385072,0.36912365433735395,c,majority
-0.1680674772143007,-0.46262462005165167,c,minority
-1.93430675744427,-0.23202451041663838,b,majority
0.15883193972889184,1.0353346866922113,a,majority
-0.6242534205706949,-1.2104016960234212,a,majority
0.0002215163969999024,-1.2045936479113302,a,minority
1.6514498302752436,-0.9296339521774971,a,majority
0.22478690273215843,-0.010677864266643562,c,majority
-1.0173348511899962,-1.3567380672561922,b,majority
0.9644150056162036,0.9530015927659814,b,majority
0.36254257013643854,-0.9242924588558654,c,majority
-1.1351618290319083,0.22435555774312935,a,majority
-1.606237767474656,-0.579073100919403,b,majority
-0.9773375592187207,-0.06549708083972602,b,minority
0.8363018006717221,-1.6033459096587435,c,majority
-0.30160213364304606,1.0013162452099562,a,majority
0.08114251895541082,-0.9614979983714009,b,majority
-1.3385296707761687,-1.0662167210437026,a,majority
0.8632189790174234,2.3790090134020927,b,majority
-2.015183664357737,0.5543073109576079,c,majority
-0.6553775160676849,0.9624164082830751,a,majority
0.4184638591137938,0.45889139636189885,c,majority
-1.1226314450393453,-0.4524805599864017,b,majority
0.6141292794504429,-1.3068498574550105,c,minority
-0.8691939785516023,-0.29882038742565875,c,minority
-1.226070592816307,-0.9781593445255623,c,majority
1.2864820646444746,-0.918115172434519,b,majority
0.15393019309900502,-1.5831873289696967,a,minority
0.5190360780496264,0.1144759597954961,c,majority
1.0182095845526968,1.573412147525846,a,minority
-2.61929894950093,0.5581367230264489,b,majority
0.6347826399703193,-0.1057903878517124,a,majority
-0.7610251844943472,-0.04057187281015166,c,majority
-0.6292727907739142,-3.0477773123935967,c,majority
0.43744107766558654,-0.42383542189937645,c,majority
-0.36304077340945273,-1.426675895220339,c,minority
0.5945210754565203,0.13441252790227645,c,majority
-0.04084296751608182,-0.25997598866823424,c,majority
0.168209014684057,-0.8693045412075403,b,majority
-0.49022159201528936,0.11189670448859902,b,majority
-1.0649332891581382,0.10327915300694296,b,majority
-0.740317570747505,1.5186240394564274,a,majority
-0.10282413047994443,0.6864175004467297,a,majority
1.8372383927745388,0.21697279003687273,b,majority
1.4719063991135422,-0.9475144736513923,a,majority
-0.6532959778593946,-1.0734391191074883,a,majority
0.060257677332475244,0.5988480074366075,c,majority
-0.2877229739460477,-0.2000693724404299,c,majority
0.13026661886902416,0.24936559112660756,a,minority
0.258912747542776,0.9780005241715597,a,majority
0.5275150157556011,-1.51313877514181,b,majority
-2.9011387818174086,1.3970353850289938,a,majority
0.36649866588694,0.9693817869489962,c,majority
-0.398921029216647,-2.0544402219876448,a,majority
-0.7049379142316038,2.353092448910977,b,majority
0.7942566781620701,0.3213763190814564,c,majority
1.4668244164047686,-0.47853830042295376,c,majority
0.6890031440414071,0.5190622236049256,c,majority
-0.5185516072110946,-0.9774746369387358,c,majority
-1.0760056501389106,0.5461283531935511,a,majority
-3.0062444281096803,-0.7934964583353113,b,majority
0.18251599658135578,2.0203595354706008,a,majority
0.5790161077944365,0.060100193906401,a,majority
-0.10186351009803027,0.6498230520728239,c,majority
0.9337462088379921,-0.786065099652139,b,majority
-1.3201902358324924,0.8164960238933582,c,minority
-0.1712389564550487,-0.012580063502112084,a,majority
-0.25030095958789006,-1.4118517083219448,a,majority
-0.11010868425606624,-0.23876271988824793,c,majority
1.1679316629539074,1.9311110688625377,a,majority
-0.10484222409876263,0.858977026043308,a,majority
-0.29479245077252947,-0.3789750689064935,c,majority
-0.9366934798105313,-1.869165761000935,a,majority
1.3285794714214596,-0.8324911782306316,b,majority
-1.4311962225786272,-1.4064740040344614,c,majority
-0.5529994328474125,-1.8450080064334982,b,majority
1.6939370670974931,0.7855911301653025,a,majority
0.46824329807153453,0.06238739638016563,a,majority
-0.020176651701270153,1.7951084483439408,c,minority
0.021692055526284188,-0.997641898797629,a,majority
-0.9463779873578178,-0.0022809347591302735,c,majority
-0.06852724485752469,-1.3941743517469143,c,majority
-0.34986583899579315,-0.5948733611662425,c,majority
0.179628599455004,-0.2221099619325858,c,majority
-1.5062413856263086,-0.37465396781164767,c,majority
0.3978520077693193,0.053540630615501135,b,majority
1.0166296748863088,0.971609563251387,c,majority
-0.2038231251205735,0.8664175854545542,b,majority
0.6470983933058072,-0.7693345840912993,a,majority
0.31034627484457733,-0.030354121863649188,c,majority
-0.6077401401660559,0.7940963749594439,a,majority
-1.0585256864571149,1.035736507429506,c,majority
-0.9183884887206587,-0.6611566846541527,b,minority
0.29289256915471507,0.7081644548002397,b,majority
-0.05614513198520448,0.33114650918770105,b,majority
1.2750930218816978,-1.065989113538929,a,majority
0.7908701122038941,0.800157962585735,c,majority
0.7887849831273013,0.15154320843246893,a,majority
0.26308080171222237,-1.741390606326526,b,majority
-0.9621989493216646,-0.29385356071136937,a,majority
0.32533929597499167,0.039857541584972525,b,majority
0.06385316502822268,-0.6058244788175937,b,majority
-1.1383813885557479,1.228228425498525,b,majority
1.2099492585587117,1.2644684906781054,c,majority
1.1022893749291518,-0.38249015891284494,c,majority
-1.1441491444170604,-0.49222552135374226,b,majority
-0.6377949051165285,-0.13123467336932107,a,majority
-0.5499502194404766,-0.20008056580668074,a,majority
0.6098515437996151,-0.5925018938019228,c,majority
0.4947251804539964,-3.7087966093232914,b,majority
0.04440721278635651,1.7548118755996143,a,majority
0.27385728039912516,0.00041796377814229223,b,majority
-1.2876321964455335,-0.17831011192907645,a,minority
0.3813612813584527,0.3251691300519507,c,majority
-0.10088537554607048,-0.08005774853408995,b,majority
-0.6790431825585895,-0.4303158446454495,b,majority
-1.532506273930319,-1.0056459863919494,a,majority
0.02696115618635197,-1.8386127764956959,a,majority
0.3569598962178099,-1.3543789299543936,a,majority
-1.7024818017065875,-1.1166740667101471,b,majority
0.018486070656429827,0.6509221580409689,c,minority
0.12223975184849553,0.7246231467643945,c,majority
-0.5542295431476606,-0.8817991044667711,a,majority
0.37983820239517424,-2.663654140437395,c,majority
-0.13266241627731973,0.009120719501876304,a,majority
0.28317100533636375,-0.42154221565931843,c,majority
0.5342469328750559,-0.4462624867001313,b,majority
0.5348069061505235,0.9559374757643647,a,majority
1.016820493446502,0.13865262547285237,c,majority
0.33832518878458007,-0.9763796485200793,b,majority
-0.47704074077682074,-1.2064130339590495,c,minority
-0.647790044753197,-0.2626113569849563,b,minority
-1.0633087528686225,-0.906412762189642,b,majority
0.15117964311290605,-0.07239762402761732,c,majority
1.3213117146525233,1.026142044401966,c,majority
-0.35845260598715023,-1.3797824115994501,b,majority
0.4496082477099598,0.08777943480896865,b,majority
-0.7522800045151605,0.9150499826693897,b,majority
0.1948049151606344,-0.08618733581810893,a,majority
1.25934712807444,0.7215808951176532,b,majority
